:START_ID(PERSON_ID)|:END_ID(PLACE_ID)|:TYPE
933|1353|IS_LOCATED_IN
1129|519|IS_LOCATED_IN
4194|918|IS_LOCATED_IN
8333|211|IS_LOCATED_IN
8698|264|IS_LOCATED_IN
8853|512|IS_LOCATED_IN
10027|129|IS_LOCATED_IN
2199023256684|306|IS_LOCATED_IN
2199023261211|1027|IS_LOCATED_IN
2199023262818|1153|IS_LOCATED_IN
2199023262994|1014|IS_LOCATED_IN
2199023266220|1194|IS_LOCATED_IN
4398046512167|1062|IS_LOCATED_IN
4398046515995|1088|IS_LOCATED_IN
4398046516514|471|IS_LOCATED_IN
4398046521820|380|IS_LOCATED_IN
6597069767117|1227|IS_LOCATED_IN
6597069770517|1378|IS_LOCATED_IN
6597069771578|982|IS_LOCATED_IN
6597069771971|1253|IS_LOCATED_IN
6597069773260|754|IS_LOCATED_IN
6597069773744|800|IS_LOCATED_IN
6597069774931|806|IS_LOCATED_IN
6597069776841|425|IS_LOCATED_IN
6597069777326|239|IS_LOCATED_IN
6597069777454|891|IS_LOCATED_IN
8796093025056|1085|IS_LOCATED_IN
8796093025593|1113|IS_LOCATED_IN
8796093028089|995|IS_LOCATED_IN
8796093028412|1199|IS_LOCATED_IN
8796093030318|907|IS_LOCATED_IN
8796093031179|1287|IS_LOCATED_IN
10995116278700|879|IS_LOCATED_IN
10995116279792|726|IS_LOCATED_IN
10995116279952|620|IS_LOCATED_IN
10995116280047|793|IS_LOCATED_IN
10995116280480|553|IS_LOCATED_IN
10995116285020|1438|IS_LOCATED_IN
10995116285325|1080|IS_LOCATED_IN
13194139536109|1360|IS_LOCATED_IN
13194139539553|382|IS_LOCATED_IN
13194139541814|1337|IS_LOCATED_IN
13194139544176|1356|IS_LOCATED_IN
13194139544258|925|IS_LOCATED_IN
15393162791382|485|IS_LOCATED_IN
15393162793009|1263|IS_LOCATED_IN
15393162795040|467|IS_LOCATED_IN
15393162796879|1325|IS_LOCATED_IN
15393162797860|337|IS_LOCATED_IN
17592186045684|463|IS_LOCATED_IN
17592186048163|820|IS_LOCATED_IN
17592186048827|693|IS_LOCATED_IN
17592186048849|473|IS_LOCATED_IN
17592186049118|1059|IS_LOCATED_IN
17592186050570|1289|IS_LOCATED_IN
17592186051113|339|IS_LOCATED_IN
17592186053080|549|IS_LOCATED_IN
17592186054681|263|IS_LOCATED_IN
19791209301794|1195|IS_LOCATED_IN
19791209305935|482|IS_LOCATED_IN
19791209306628|1285|IS_LOCATED_IN
19791209307908|230|IS_LOCATED_IN
21990232556027|968|IS_LOCATED_IN
21990232556585|785|IS_LOCATED_IN
21990232558653|370|IS_LOCATED_IN
21990232559044|918|IS_LOCATED_IN
21990232560132|1062|IS_LOCATED_IN
21990232560726|743|IS_LOCATED_IN
21990232560950|792|IS_LOCATED_IN
21990232561712|640|IS_LOCATED_IN
21990232563931|747|IS_LOCATED_IN
21990232565814|756|IS_LOCATED_IN
21990232565924|862|IS_LOCATED_IN
24189255812290|724|IS_LOCATED_IN
24189255813101|350|IS_LOCATED_IN
24189255814220|1113|IS_LOCATED_IN
24189255815734|530|IS_LOCATED_IN
24189255816395|260|IS_LOCATED_IN
24189255818167|787|IS_LOCATED_IN
24189255818453|719|IS_LOCATED_IN
24189255819563|437|IS_LOCATED_IN
24189255821590|1214|IS_LOCATED_IN
26388279066636|1073|IS_LOCATED_IN
26388279074007|968|IS_LOCATED_IN
26388279074936|1259|IS_LOCATED_IN
28587302322727|876|IS_LOCATED_IN
28587302327472|574|IS_LOCATED_IN
28587302327895|309|IS_LOCATED_IN
28587302330379|1077|IS_LOCATED_IN
28587302330793|1234|IS_LOCATED_IN
28587302331372|721|IS_LOCATED_IN
30786325578904|1176|IS_LOCATED_IN
30786325580104|1208|IS_LOCATED_IN
30786325583274|778|IS_LOCATED_IN
30786325584323|507|IS_LOCATED_IN
30786325585602|1387|IS_LOCATED_IN
30786325586267|1281|IS_LOCATED_IN
30786325586438|1325|IS_LOCATED_IN
30786325586633|1350|IS_LOCATED_IN
32985348840129|925|IS_LOCATED_IN
32985348842922|956|IS_LOCATED_IN
32985348843775|699|IS_LOCATED_IN
32985348843944|576|IS_LOCATED_IN
2035|389|IS_LOCATED_IN
2099|793|IS_LOCATED_IN
3067|652|IS_LOCATED_IN
3601|116|IS_LOCATED_IN
7375|1192|IS_LOCATED_IN
2199023256181|139|IS_LOCATED_IN
2199023258430|1386|IS_LOCATED_IN
2199023258732|618|IS_LOCATED_IN
2199023260149|1218|IS_LOCATED_IN
2199023262021|924|IS_LOCATED_IN
2199023264241|277|IS_LOCATED_IN
2199023265107|1169|IS_LOCATED_IN
4398046511870|441|IS_LOCATED_IN
4398046513209|698|IS_LOCATED_IN
4398046515291|1044|IS_LOCATED_IN
4398046517793|548|IS_LOCATED_IN
4398046518021|994|IS_LOCATED_IN
4398046518355|432|IS_LOCATED_IN
6597069766983|1247|IS_LOCATED_IN
6597069770808|1325|IS_LOCATED_IN
6597069772777|460|IS_LOCATED_IN
6597069773276|682|IS_LOCATED_IN
6597069773901|943|IS_LOCATED_IN
6597069774386|649|IS_LOCATED_IN
6597069774399|1308|IS_LOCATED_IN
6597069775011|1295|IS_LOCATED_IN
6597069775498|1398|IS_LOCATED_IN
6597069775990|220|IS_LOCATED_IN
6597069775996|730|IS_LOCATED_IN
6597069776311|1203|IS_LOCATED_IN
8796093023060|1187|IS_LOCATED_IN
8796093024398|1075|IS_LOCATED_IN
8796093024830|163|IS_LOCATED_IN
8796093026215|402|IS_LOCATED_IN
8796093027255|1028|IS_LOCATED_IN
8796093027285|931|IS_LOCATED_IN
8796093027599|1218|IS_LOCATED_IN
8796093028953|841|IS_LOCATED_IN
10995116282255|993|IS_LOCATED_IN
10995116288599|1262|IS_LOCATED_IN
13194139534485|841|IS_LOCATED_IN
13194139536519|303|IS_LOCATED_IN
13194139537106|1367|IS_LOCATED_IN
13194139538042|200|IS_LOCATED_IN
13194139538958|523|IS_LOCATED_IN
13194139540756|153|IS_LOCATED_IN
13194139541819|192|IS_LOCATED_IN
13194139542197|871|IS_LOCATED_IN
13194139542377|185|IS_LOCATED_IN
13194139542594|657|IS_LOCATED_IN
13194139543252|998|IS_LOCATED_IN
13194139543486|1061|IS_LOCATED_IN
13194139543680|678|IS_LOCATED_IN
15393162792434|796|IS_LOCATED_IN
17592186046713|1104|IS_LOCATED_IN
17592186047759|383|IS_LOCATED_IN
17592186048261|1414|IS_LOCATED_IN
17592186048592|816|IS_LOCATED_IN
17592186050532|509|IS_LOCATED_IN
17592186052116|1099|IS_LOCATED_IN
17592186054222|143|IS_LOCATED_IN
19791209300372|598|IS_LOCATED_IN
19791209304664|1312|IS_LOCATED_IN
19791209306659|113|IS_LOCATED_IN
21990232558019|722|IS_LOCATED_IN
21990232560677|196|IS_LOCATED_IN
21990232560744|1161|IS_LOCATED_IN
21990232562328|1352|IS_LOCATED_IN
21990232562378|373|IS_LOCATED_IN
21990232562436|1316|IS_LOCATED_IN
21990232562878|133|IS_LOCATED_IN
21990232564330|1415|IS_LOCATED_IN
21990232564501|953|IS_LOCATED_IN
24189255818373|1297|IS_LOCATED_IN
24189255818939|156|IS_LOCATED_IN
24189255821783|1341|IS_LOCATED_IN
26388279067350|400|IS_LOCATED_IN
